PackageName, Repository, Description, Link, Dependencies

mesa, Extra, Open-source implementation of the OpenGL specification, https://archlinux.org/packages/extra/x86_64/mesa/, libdrm libelf libglvnd libomxil-bellagio libunwind libxdamage libxshmfence libxxf86vm llvm-libs lm_sensors vulkan-icd-loader wayland zstd
lib32-mesa, Multilib, Open-source implementation of the OpenGL specification (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-mesa/, mesa lib32-libdrm lib32-libelf lib32-libglvnd lib32-libunwind lib32-libxdamage lib32-libxshmfence lib32-libxxf86vm lib32-llvm-libs lib32-lm_sensors lib32-wayland lib32-zstd
libva-mesa-driver, Extra, VA-API implementation for gallium, https://archlinux.org/packages/extra/x86_64/libva-mesa-driver/, expat libdrm libelf libx11 libxshmfence llvm-libs
lib32-libva-mesa-driver, Multilib, VA-API implementation for gallium (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-libva-mesa-driver/, lib32-expat lib32-libdrm lib32-libelf lib32-libx11 lib32-libxshmfence lib32-llvm-libs lib32-zstd
mesa-vdpau, Extra, Mesa VDPAU drivers, https://archlinux.org/packages/extra/x86_64/mesa-vdpau/, expat libdrm libelf libx11 libxshmfence llvm-libs
lib32-mesa-vdpau, Multilib, Mesa VDPAU drivers (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-mesa-vdpau/, lib32-expat lib32-libdrm lib32-libelf lib32-libx11 lib32-libxshmfence lib32-llvm-libs lib32-zstd
opencl-mesa, Extra, OpenCL support for AMD Mesa drivers, https://archlinux.org/packages/extra/x86_64/opencl-mesa/, clang libclc libdrm
lib32-opencl-mesa, Multilib, OpenCL support for AMD Mesa drivers (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-opencl-mesa/, opencl-mesa lib32-clang lib32-expat lib32-libdrm lib32-libelf lib32-zstd
xf86-video-amdgpu, Extra, X.org amdgpu video driver, https://archlinux.org/packages/extra/x86_64/xf86-video-amdgpu/, mesa systemd-libs

vulkan-mesa-layers, Extra, Mesa Vulkan layers, https://archlinux.org/packages/extra/x86_64/vulkan-mesa-layers/, libdrm libxcb python wayland
lib32-vulkan-mesa-layers, Multilib, Mesa Vulkan layers (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-vulkan-mesa-layers/, vulkan-mesa-layers lib32-libdrm lib32-libxcb lib32-wayland
vulkan-radeon, Extra, Radeon Vulkan mesa driver, https://archlinux.org/packages/extra/x86_64/vulkan-radeon/, libdrm libelf libx11 libxshmfence llvm-libs wayland
lib32-vulkan-radeon, Multilib, Radeon Vulkan mesa driver (32Bit), https://archlinux.org/packages/multilib/x86_64/lib32-vulkan-radeon/, lib32-libdrm lib32-libelf lib32-libx11 lib32-libxshmfence lib32-llvm-libs lib32-wayland lib32-zstd

pipewire, Extra, Low-latency audio/video router and processor, https://archlinux.org/packages/extra/x86_64/pipewire/, alsa-card-profiles alsa-lib bluez-libs dbus libfdk-aac libldac ncurses libopenaptx sbc libsndfile systemd-libs vulkan-icd-loader rtkit
pipewire-media-session, Extra, Pipewire session manager, https://archlinux.org/packages/extra/x86_64/pipewire-media-session/, pipewire
pipewire-alsa, Extra, Pipewire ALSA configuration, https://archlinux.org/packages/extra/x86_64/pipewire-alsa/, pipewire-media-session
pipewire-jack, Extra, Pipewire JACK support, https://archlinux.org/packages/extra/x86_64/pipewire-jack/, pipewire pipewire-media-session
pipewire-pulse, Extra, Pipewire PulseAudio replacement, https://archlinux.org/packages/extra/x86_64/pipewire-pulse/, libpulse pipewire-media-session
gst-plugin-pipewire, Extra, Multimedia graph framework - pipewire plugin, https://archlinux.org/packages/extra/x86_64/gst-plugin-pipewire/, gst-plugins-base-libs pipewire pipewire-media-session
