"PackageName", "Repository", "Description", "Link", "Dependencies"

"e2fsprogs", "Core", "Ext2/3/4 filesystem utilities", "https://archlinux.org/packages/core/x86_64/e2fsprogs/", "util-linux-libs"
"exfatprogs", "Community", "exFAT tools for the Linux Kernel exfat driver", "https://archlinux.org/packages/community/x86_64/exfatprogs/", "glibc"
"f2fs-tools", "Extra", "Tools for Flash-Friendly File System (F2FS)", "https://archlinux.org/packages/extra/x86_64/f2fs-tools/", "util-linux"
"xfsprogs", "Core", "XFS filesystem utilities", "https://archlinux.org/packages/core/x86_64/xfsprogs/", "device-mapper icu libinih util-linux-libs"
"ntfs-3g", "Extra", "NTFS filesystem driver and utilities", "https://archlinux.org/packages/extra/x86_64/ntfs-3g/", "fuse2 util-linux"

"rustup", "Community", "Rust toolchain installer", "https://archlinux.org/packages/community/x86_64/rustup/", "curl xz"
"eww", "[GIT]", "Highly customizable widget maker made with Rust", "https://github.com/elkowar/eww", "rustc gtk3"
